fon,fr
Awɔ̀vinɔ́ wɛ́ n’í,Il est dangereux.
Axɔ́sú’kpá ɖò nukún tɔ́n mɛ̀,Il a des cicatrices de variole.
"Énɛ́ ɔ́ gúdo ɔ́, yě yi tɔ́n ahwan Kanáanu e ɖo sókan mɛ lɛ́ɛ kpó éé ɖo tofɔligbé lɛ́ɛ kpó, kpódó éé ɖo ayǐkúngban wɛnjɛ jí lɛ́ɛ kpán.","Les fils de Juda descendirent ensuite, pour combattre les Cananéens qui habitaient la montagne, la contrée du midi et la plaine."
Vì élɔ́ ɖo xwa lun wɛ̀,Cet enfant ronfle.
jiji,originaire de sègbohouè
"Hǔn, azǎn ayizɛ́ngɔ́ ɔ́ gbe ɔ́, Mawu wa azɔ̌ tɔn lɛ́ɛ bǐ fó bó gbɔjɛ́ azǎn tɛ́nwegɔ́ ɔ́ gbe.","Dieu acheva au septième jour son oeuvre, qu'il avait faite: et il se reposa au septième jour de toute son oeuvre, qu'il avait faite."
jε nεgbe,est tombé sur le dos d'un
"È tuùn fímu enɛ ganji, é ɖò mɔ̌ có, mɛɖebǔ ɖɔ xó d’ewu ǎ.","Ce film est connu, pourtant personne ne le cite."
e to nyi nugbo wɛ hun,est
nùɖé wá jɛ̀ nù mɛ́ nú mì,je suis tombé sur un obstacle
Sika ɖɔ Kɔjo na da Asiba,Sika a dit que Kojo allait marier Asiba.
E na dɔn to nu mi mε we lε.,On va vous punir tous les deux
A na nu ahan,Tu vas boire de l’alcool
"Sin hwenuɖe un gosin wemaxɔmε ɔ, xwe tεnnε ɖie.","Depuis que j'ai quitté l'université, il y a neuf ans"
azan tantɔn gbe gudo tɔ ɔ wa hun gbavi ɔ ɖo cesar sin nukɔn mε,après huit jours le père ouvrit la malle devant césar
"Gbɛtɔ bĭ ɖo na ba tuto gbɔn nukɔnyiyi hɛnnu e mɛ ɖe e kpodo gbɛ ɔ bĭ kpan sin alinu bonu acɛ, sisi kpo jlokokonunɔ e xó e ɖɔ ɖɔ wema elɔ mɛ ɔ ni nɔ xwiji","Toute personne a droit à ce que règne, sur le plan social et sur le plan international, un ordre tel que les droits et libertés énoncés dans la présente déclaration puissent y trouver plein effet."
mi kpla wa ɖo gan tantɔn mε zanzan,amenez-la vers huit heures demain
é nyɔ́ ján,c'est bien comme ça faute de mieux
E nyɔ din,C’est magnifique
"Mi sá vɔ̌ lě e sɛ́n ɔ́ zɔ́n gbɔn é, bó ɖeji dó Mawu Mavɔmavɔ wú.","Offrez des sacrifices de justice, Et confiez-vous à l'Éternel."
blŏ cíì,grésiller
e wɛ́ nɔ́ kpɔ́n jĭ tɔ̀n,c'est lui qui veille sur lui
ɖɛ̀ tɔ́n tɛ́,il est muet
yĭ hwɛ̀ gbè,reconnaître ses torts
e ɖú mì ă,qu'est
a nɔ hwɛ́n azizɔ,tu sens la fumée
Ye gbo e do d'ajo kɔn,Ils l'ont surpris en flagrant délit de vol
Sezar yi gbe ɖɔ,César répondit.
Un ɖò amlɔgɔ́ sa wɛ̀,Je m’endors.
Atín e ɖó xwè kanweko é,Arbre centenaire
Xɛsi ɖi i bǐ mlɛ́mlɛ́ hwenu e é sè afɔɖiɖe ɖò gudo tɔn ɖò ali e jí ablu gɔ́ bɔ mɛɖé ma ɖè ǎ é jí é.,La peur le tétanisa complètement lorsqu'il entendit un bruit de pas derrière lui dans la ruelle sombre et déserte.
klosέvɔ̀,fleur de nété
klwesávɔ̀,fleur de nété
"Sɛ́mu, Jafɛ́ti sín fofó ɔ́ lɔ ji vǐ súnnu. É wɛ nyí tɔ́gbó nú Ebɛ́ɛ kpó vǐ tɔn lɛ́ɛ bǐ kpó.","Il naquit aussi des fils à Sem, père de tous les fils d'Héber, et frère de Japhet l'aîné."
É ɖò kpekán ta,Il est sur le seuil.
Jakɔ́bu sɔ́ nǔ bó bɛ́ vǐ tɔn lɛ́ɛ kpódó asi tɔn lɛ́ɛ kpó ɖó lǎkúnmí jí.,"Jacob se leva, et il fit monter ses enfants et ses femmes sur les chameaux."
Mi ná mì mɔ̌to e ɖo atɛ jí é.,Donne-moi le marteau qui est sur l’étagère.
Mi na kpe go gbe ɖokpo,Nous nous rencontrerons un jour
é ɖó tɔ́ tɔ́n alisá,il a fait la cérémonie d'alisá pour son père
"É gba akɔta gěgé, é hu axɔ́sú syɛ́nsyɛ́n gěgé.","Il battit une multitude de nations et tua des rois puissants,"
kinikini ɔ ɖo aja mɛ,le lion vit dans une cage
é gán jɛ̀ azinkpo mɛ̀,il s'est étendu confortablement dans son siège
"“Heelú mɛ e yí gbe bó ɖu nǔ ɖo nǔ mɛ, bó hu xomɛvɔ́nɔ é!” Bɔ togun ɔ́ bǐ ná yí gbe ɖɔ: “Amǐ.”",Maudit soit celui qui reçoit un présent pour répandre le sang de l'innocent ! Et tout le peuple dira : Amen !
Etɛ́ lɛ́ wɛ́ kɔ́n myá nukún nú gbɛtɔ́ lɛ́ ?,"Qu'est-ce qui nous préoccupe, nous, les hommes ?"
E ma mi ă,Je n'ai pas l'habitude.
"Mi ná gba toxo e è mɛ ahohó lɛ́ lɛ̌ dó lɛ́ɛ bǐ, bó ná gba toxo nukúnɖéjí lɛ́ɛ bǐ. Mi ná gbo atín e nɔ ná sínsɛ́n lɛ́ɛ bǐ, mi ná sú tɔjɔtɛn lɛ́ɛ bǐ, bó ná nyi awǐnnya dó gle e è lɛ lɛ́ɛ jí, bó ná hɛn bǐ gblé.’ ”","vous frapperez toutes les villes fortes et toutes les villes d'élite, vous abattrez tous les bons arbres, vous boucherez toutes les sources d'eau, et vous ruinerez avec des pierres tous les meilleurs champs."
Tɔ ɔ kplɔ́ ɛ́ hɛn yì,La rivière l'a emporté.
Nana tɔ bowunba kɔmɛ gblayaa ɖokpo,Maman a cousu un bomba au col large
"Ée Davídi se mɔ̌ ɔ́, é yá wǔ sɔ́ nǔ, é kpó mɛ tɔn lɛ́ɛ kpó. Mɛ tɔn lɛ́ɛ ná yi gbɛtɔ́ nǔwɔntɔn mɔ̌ (600), bɔ yě tɔ́n sín Keyila toxo mɛ, bó byɔ́ gbɛ ɔ́ mɛ ɖidó. Ée Sawúlu se ɖɔ Davídi hɔn sín Keyila toxo mɛ ɔ́, é ɖó ahwan e ná fun wɛ é ɖe ɔ́ te.","Alors David se leva avec ses gens au nombre d'environ six cents hommes ; ils sortirent de Keïla, et s'en allèrent où ils purent. Saül, informé que David s'était sauvé de Keïla, suspendit sa marche."
"Mi do gbe nu mi ɖo tɛn mitɔn mɛ, mi hɛn miɖee ganji.","Bienvenue chez nous, installez-vous confortablement."
"Lo ɔ́, cóbónú é ná hu mɛ lɛ́ɛ ɔ́, Yexocɛ́va axɔ́sú Yexolámu sín vǐ nyɔ̌nu e nyí Akaziasi nɔví ɔ́ zé Joasi Akaziasi ví ɔ́ sín axɔ́sú ví lɛ́ɛ mɛ, lobo zé e hwlá hwenu e è ɖo mɛ lɛ́ɛ hu wɛ é. É zé vǐ ɔ́ kpó nyɔ̌nu e ɖo vǐ ɔ́ hɛn wɛ ɔ́ kpó yi ɖó xɔ e mɛ è nɔ dɔ́ ɖo Mawu Mavɔmavɔ xwé gbe ɔ́ ɖokpó mɛ. Lě e é gló Atalíi bó má kú ǎ gbɔn é nɛ́.","Mais Joschéba, fille du roi Joram, soeur d'Achazia, prit Joas, fils d'Achazia, et l'enleva du milieu des fils du roi, quand on les fit mourir: elle le mit avec sa nourrice dans la chambre des lits. Il fut ainsi dérobé aux regards d'Athalie, et ne fut point mis à mort."
nă ajɔ̀ mε,récompenser quelqu'un
azɔ̀ ɔ́ ɖo kɔ jí nú mì,je suis tenu de faire ce travail
un tuun n'i ɖo xwe tantɔn ɖie,il y a huit ans que je le connais
Gbεtɔ sukpɔ ɖo gbe ɔ ji,C'est une région très peuplée
un wa kpe xɔntɔn ce lɛ e,je suis venu rejoindre des amis
"Ee é ɖɔ xó e vɛ́ mɛ lɛ é enɛ lɛ gudo é ɔ, cícící syɛnsyɛn ɖé jɛ xɔ ɔ mɛ bɔ é ma nyɔ́ ǎ.","Après qu’il eut prononcé ces paroles blessantes, un silence pesant et inconfortable s’installa dans la pièce."
e yá ló à,est-ce prêt maintenant
Ma jo e do n'ε byɔ mε o,Ne le laisse pas entrer
e glá wá fí ă,il n'a pas osé venir ici
Kpléɖókpɔ́ ɖaxó mɛ e ɖó akwɛ lɛ é tɔn yí gbè ɖɔ è ni sú akwɛ e è má ɖó vo é ɖé ɖò xwè elɔ mɛ.,L'assemblée générale des actionnaires a approuvé le versement d'un dividende exceptionnel cette année.
É nɔ́ xwe mɛ e wú è ɖeji dó lɛ́ɛ sín nu dó xɔ; é nɔ́ yí nukúnnú mɔ jɛ nǔ mɛ e degénɔ lɛ́ɛ ɖó ɔ́ sín yě sí.,Il ôte la parole à ceux qui ont de l'assurance ; Il prive de jugement les vieillards.
"Xɛsi ɖaxó ɖé lɛ́ lɛ̌ dó e, bó nɔ́ ɖo cɔcɔ dó n'i wɛ.","Des terreurs l'assiègent, l'entourent, Le poursuivent par derrière."
É jɛ ahwan jí cè,Il m’a défendu.
hὲn mε ɖŏ tè,empêcher quelqu'un d'aller
A ka na yí gbè bo na ɖu nǔ xá mì ɖò Samedi e ja é à? Un tuùn nǔɖutɛn kpɛví ɖagbeɖagbe ɖé.,Accepteriez-vous de partager un repas avec moi samedi prochain ? Je connais un petit restaurant très sympathique.
ago mǎ ɖu we,laisse
Fitε mi gosin?,D’où venez-vous ?
xɔntɔn,amis
"Ayi tɔn yá wǔ mɔ nǔ, bɔ é má vǐ tɔn e kpo lɛ́ɛ gbɔn Judáa to ɔ́ kpódó Bɛnjamɛ́ɛ to ɔ́ kpó mɛ, ɖo toxo e é mɛ ahohó lɛ́ lɛ̌ dó lɛ́ɛ mɛ. É sɛ́ nǔɖuɖu dó yě kpɔ́ gégé, lobo da asi nú yě kɔn nyi kpɔ́.","Il agit avec habileté en dispersant tous ses fils dans toutes les contrées de Juda et de Benjamin, dans toutes les villes fortes; il leur fournit des vivres en abondance, et demanda pour eux une multitude de femmes."
E yi wan nu we,Il t’aime.
Yĕ tùn atín céɖéɖé,Ils ont planté les arbres en alignement.
"Nǔnywɛ́ nyí ɖɔ è ni ɖó xósin lɛ bǐ ǎ, loɔ, è ni kàn nǔ e mɛɖebǔ ma nɔ kpankɔ́n bo na kàn ǎ lɛ é byɔ wɛ.","La sagesse ne consiste pas à avoir toutes les réponses, mais à formuler les questions que personne n’ose poser."
Kofi na yi alo e na dɔ,Kofi partira ou bien il passera la nuit .
gyankpa xú mì,je me suis donné un coup de coupe-coupe
adɔ̀ vɛ́ mí,je n'ai pas dormi
mĭ ɖò avo mɛ̀ bɔ̀ yè wá j'ájó dó mĭ,nous étions dans l'ignorance et ils sont venus nous dévaliser
Súkésúké sɔ́ mì,J’ai le hoquet.
Mawu ɖokpónɔ géé wɛ vlɔ́n jǐnukúnsin. É nɔ́ ɖi zɔnlin gbɔn xu jí.,"Seul, il étend les cieux, Il marche sur les hauteurs de la mer."
nu un nu azɔ ɔ e na do tagba nu mi wε a,est-ce que ça vous gêne si je fume
"Nɔví yětɔn nyɔ̌nu lɛ́ɛ ɖíe: Selúya kpó Avigalu kpó. Selúya ɔ́ ji vǐ atɔn: Avicáyi, Jowabu kpó Asaxɛli kpó.","Leurs soeurs étaient : Tseruja et Abigaïl. Fils de Tseruja : Abischaï, Joab et Asaël, trois."
"Nǔ wlí kanlin towe lɛ́ɛ ɖě ɖu bɔ un zé ɖukpo tɔn wá xlɛ́ we kpɔ́n gbeɖé ǎ; axɔ́ tɔn wɛ un nɔ sú we. È fin kanlin towe lɛ́ɛ ɖě dó mì kéze abǐ zǎn mɛ ɔ́, akwɛ́ tɔn wɛ a nɔ yí ɖo así Ényí kanlin ɖé hwe ɖo kanlin lɛ́ɛ mɛ ɔ́, kanlinnyitɔ́ ɔ́ wɛ ɖó ná sú axɔ́ tɔn. Amɔ̌, ényí gběkanlin wlí kanlin lɛ́ɛ ɖě ɖu, bónú kanlinnyitɔ́ ɔ́ mɔ ée gběkanlin ɖu kpo ɔ́ bó bɛ́ wá xwé ɔ́, é ná sú axɔ́ ǎ.","Je ne t'ai point rapporté de bêtes déchirées, j'en ai payé le dommage; tu me redemandais ce qu'on me volait de jour et ce qu'on me volait de nuit."
Kofi xo mεɖe a,Kofi n'a frappé personne
un kan xó by'ɛ́ b'ɛ́ tín dó mì,je l'ai questionné et il a refusé de répondre
abɔ̀jí,épaule
abɔ̀tá,épaule
abɔ̀xú,épaule
jɔhon xa atin ɔ bo sun ama tɔn gudotɔn lɛ,le vent couche l'arbre et lui arrache ses dernières feuilles
Wásí wásí óó ! Aluwáásí o owó owó ! Măwù wɛ́ tíin !,Vive la Joie ! Dieu existe !
jìví ɔ́ fɛ́ɖɛ́ atín,le couteau a le manche fragile
e jì vĭ ganjí à,l'accouchement s'est
"Davídi nɔ ɖɔ dó ayi mɛ ɖɔ: “Un ná wa ɖagbe nú Hanúni Naxáci ví ɔ́ lě e tɔ́ tɔn bló gbɔn nú mì é.” Ée Davídi lin mɔ̌ ɔ́, é sɛ́ gǎn hɔn-yitɔ́ tɔn ɖé lɛ́ɛ dó, nú yě ná yi dó nǔwamɛgbe e. Ée gǎn hɔn-yitɔ́ tɔn lɛ́ɛ yi Amumɔ́ɔ ví lɛ́ɛ sín tomɛ ɔ́,","David dit : Je montrerai de la bienveillance à Hanun, fils de Nachasch, comme son père en a montré à mon égard. Et David envoya ses serviteurs pour le consoler au sujet de son père. Lorsque les serviteurs de David arrivèrent dans le pays des fils d'Ammon,"
blò n'í nyɔ́,fais que ce soit bien
é yì nakí bá gbé,il est allé chercher du bois jumeaux
Sunnuvi ɔ ɖ’amlɔ dɔ wɛ ɖo avɔ gwlɛ,Le garçon dort sous la couverture.
E zín tanpɔ́n dó wèmá cé jí,Il a tamponné mon papier.
E sù kú ă,De rien.
gbɛ̀ wɛ́ tuwùn,dieu seul le sait
É kanbyɔ́ yě ɖɔ: “Nɛ̌ ká gbɔn bɔ wǔ kú mi bǐ mɔ̌?”,"Alors il questionna les officiers de Pharaon, qui étaient avec lui dans la prison de son maître, et il leur dit: Pourquoi avez-vous mauvais visage aujourd'hui?"
nu fín,la bouche où le cure
e jlá ɖa nú atín,il a élagué un arbre
zàn kézè,jour et nuit
Un na blo xwe we ɖo Bɛnɛɛ kpo na lɛ kɔ ɖo yovotomɛ,"Je viens au Bénin pour deux ans, et ensuite, je retourne aux USA."
Yě gosín Salumɔ́na bó ɖó gɔnu ɖó Punɔni.,"Ils partirent de Tsalmona, et campèrent à Punon."
E nɔ́ bóɖó è,Il a beaucoup d’affection pour lui.
jomɛhun ɔ gbɔn atlantique sin xu ɔ ta,l'avion a survolé l'océan atlantique
"Xwe tɔn we gúdo ɔ́, é wá su gbe ɖokpó zǎn mɛ, bɔ axɔ́sú Ejípu tɔn ɔ́ kú dlɔ̌, bó mɔ éɖée ɖo Nilu tɔ ɔ́ tó.","Au bout de deux ans, Pharaon eut un songe. Voici, il se tenait près du fleuve."
"Azǎn ɖokpó énɛ́ ɔ́ gbe ɔ́, mi ná zé lɛ̌ngbɔ́ví e ɖó xwe ɖokpó, bɔ blɔ̌ ɖěbǔ má ɖo wǔ tɔn ǎ dó sá vɔ̌ e è nɔ dó zo ɔ́ nú mì.","Le jour où vous agiterez la gerbe, vous offrirez en holocauste à l'Éternel un agneau d'un an sans défaut;"
Bɔ zemijan zokɛkɛ nɔ sɔ mɛ ɖi taxi ɖɔhun,Et le zemijan est une moto-taxi
w'azɔ bo nu asi tɔn na mɔ kwε,a travaillé pour que sa femme ait de l'argent
Azɔ tε a nɔ wa ?,Qu’est-ce que tu fais dans la vie ?
"Vɔ̌sánú-xwlémawutɔ́ ɔ́ ná dó jinukún e è glǐn ɔ́ ɖě zo kpó zǎlínkpɔ́n ɔ́ bǐ kpó, bɔ é ná nyí flǐnnú ɖé nú Mawu Mavɔmavɔ. Nǔníná e è nɔ dó zo ɖo Mawu Mavɔmavɔ nukɔn ɔ́ ɖokpó wɛ é nyí.”","Le sacrificateur brûlera comme souvenir une portion des épis broyés et de l'huile, avec tout l'encens. C'est une offrande consumée par le feu devant l'Éternel."
Xomɛ ce gba wɔ,Je suis très heureux
"Énɛ́ ɔ́ gúdo ɔ́, Mawu Mavɔmavɔ ɖɔ nú Jozuwée Nuni ví ɔ́ ɖɔ: “Kpan akɔ́n, bó dó gǎn ɖó hwi wɛ ná kplá Izlayɛ́li ví lɛ́ɛ byɔ́ to e sín akpá un dó nú yě ɔ́ mɛ; nyi ɖésú ká ná nɔ kpɔ́ xá we.”","L'Éternel donna ses ordres à Josué, fils de Nun. Il dit : Fortifie-toi et prends courage, car c'est toi qui feras entrer les enfants d'Israël dans le pays que j'ai juré de leur donner ; et je serai moi-même avec toi."
kpɔ́wùn εnὲ,cent francs
Awu ce sún saxle mɛ̀ bĭ,Ma chemise est déteinte partout.
a ma fɔn ganji á,tu es bien réveillée
Un ná ɖò kpikpɔ́n wɛ̀,Je verrai.
Flín bo nɔ kpɔ́n hun towe sín hlɔnhlɔn hwɛhwɛ.,Pensez à vérifier votre tension artérielle régulièrement.
E xásá dó kɔ tɔ̀n,Il lui sauta au cou.
"Mawu Mavɔmavɔ ná gbo nú nyi kpó mɛ kpó. É ná kpɔ́n bó ná jɛ ahwan jǐ ce, bó ná mɔ hwɛjijɔ nú mì, bó ná hwlɛ́n mì ɖo mɛ sí.”","L'Éternel jugera et prononcera entre moi et toi ; il regardera, il défendra ma cause, il me rendra justice en me délivrant de ta main."
Wă dĕ,Viens par ici.
"Eo, mi yi mε a ɖo gbemε fa avivɔ gbε","Non, nous n'avons pas campé, parce qu'il faisait froid"
Mɛɖe wá,Quelqu'un est venu.
mì nà tɛ́n kpɔ́n bɔ̀ nukɔnyiyi ná tíin nú mĭ ɖ'àzɔ̆ mɛ̀,nous allons essayer de faire du progrès dans notre travail
akwɛnɔ,riche
azizɔlì,cheminée
é blí nú mì,il s'est humilié devant moi
"Nyibúsú yětɔn lɛ́ɛ nɔ́ ɖo ava dó nú nyibú asi yětɔn lɛ́ɛ wɛ, bɔ yě nɔ́ ɖo xo mɔ wɛ hwɛhwɛ; nyibú yětɔn lɛ́ɛ nɔ́ lun vǐ ǎ.","Leurs taureaux sont vigoureuses et féconds, Leurs génisses conçoivent et n'avortent point."
Sɛnsátɔ́ ɖò sɛ̀ sá dó dò wú wɛ̀,Le peintre est en train de peindre le mur.
"Nu kpɔ mɔ vi ce ɔ, e na ɖu n'i.","Si le léopard voit mon enfant, il le mangera :"
"Hwenu e mǐ ná wá ahwan tɔ́n to ɔ́ gbé ɔ́, a nǎ sin kan vɔvɔ cɛ́cɛ́ élɔ́ dó flɛtɛ́li e nu a zě mǐ jɛ te gbɔn é. Énɛ́ ɔ́ gúdo ɔ́, a nǎ kplá tɔ́ towe, nɔ towe, nɔví towe súnnu kpó nyɔ̌nu kpó, kpódó hɛ̌nnumɔ towe bǐ kpán wá ɖó xwé towe gbe.","A notre entrée dans le pays, attache ce cordon de fil cramoisi à la fenêtre par laquelle tu nous fais descendre, et recueille auprès de toi dans la maison ton père, ta mère, tes frères, et toute la famille de ton père."
"Yě gosín fínɛ́, bó ɖidó Eflayímu sókan mɛ, bó wá jɛ Mika sín xwé kpá.","Ils passèrent de là dans la montagne d'Ephraïm, et ils arrivèrent jusqu’à la maison de Mica."
ɖì gŭ,hériter
ɖì xì,hériter
daá nyɔ̆nù,tante paternelle
daánù,tante paternelle
daányɔ̆nù,tante paternelle
tɔ́ noví,tante paternelle
agban jɛgijɛgi tɛ́ ɖíè,qu'est
kú na ó,merci pour ta libéralité
azɔ̀n mɔ̀kpán,plusieurs fois
Jikpá ɔ gɔ́ nú flowa lɛ bɔ è kpé nukún dó ye wu ganji.,Le jardin est fleuri et très bien entretenu.
é mì alɔ n'í,il lui a fait signe de la main
Un ɖò xwé e ɖó jikpá ɖaxó ɖé bo ɖò wemaxɔmɛ lɛ kpá é ba wɛ.,Je cherche une maison qui possède un grand jardin et qui soit située près des écoles.
xεvi ɔ ɖo kpεn kun wε,l'oiseau siffle
Hwevɔ gbɛ,Le soleil est chaud.
xɔ̀ akpà,être blessé pour un guerrier
Un ɖi ɖɔ̀ é kó yì,Il me semble qu'il est parti.
gangbá,boîte
gbă,boîte
É ɖò adingbàn n’í,Il lui a menti (pour obtenir quelque chose).
"Ényí to ɖěvo mɛ nu wɛ mi nya nǔɖé ná ɔ́, mi sixú yí d'é jí. É ká nyí nɔví mitɔn wɛ ɔ́, mi ná yí d'é jí ǎ. Mi nyi sɛ́n énɛ́ ɔ́ ɖo to e yí gbé mi ja ɔ́ mɛ; énɛ́ ɔ́, Mawu Mavɔmavɔ, Mawu mitɔn ná dó acɛ nǔ e mi ná wa lɛ́ɛ bǐ jí.","Tu pourras tirer un intérêt de l'étranger, mais tu n'en tireras point de ton frère, afin que l'Éternel, ton Dieu, te bénisse dans tout ce que tu entreprendras au pays dont tu vas entrer en possession."
Tɔjihún ɔ́ wá tɔ tó,La pirogue a abordé.
A dŏ nùɖé'kpá bò gɔ̀n ɖiɖè,Tu m'as promis quelque chose que tu n'as pas tenue.
Mǐ kpó ɖò gbesisɔmɛ bo na na xósin nú nǔkanbyɔ ɖevo ɖebǔ e a sixu ɖó é.,Nous restons à votre écoute pour tout complément.
"Azɔ̌ e kan Mawu xwé ɔ́, bɔ è sɔ́ dó así nú hɛ̌nnu Mɛlali tɔn lɛ́ɛ, bɔ yě ná nɔ́ wa lɛ́ɛ nɛ́. Itamáa vɔ̌sánú-xwlémawutɔ́ Aalɔ́ɔn ví ɔ́ ná nɔ yě nu.”","Telles sont les fonctions des familles des fils de Merari, toutes leurs fonctions dans la tente d'assignation, sous la direction d'Ithamar, fils du sacrificateur Aaron."
mí gbɛ́ xó towé,nous n'acceptons pas ce que tu dis
Vlafo nǔkplɔnmɛ nǔnywɛ tɔn ɖaxó hugǎn ɔ wɛ nyí ɖɔ mǐ ni kplɔ́n bo tuùn lee nǔ e mǐ ma tuùn ǎ lɛ é syɛn sɔ́ é.,La plus grande leçon de sagesse est peut-être d'apprendre à reconnaître l'immensité de ce que nous ignorons.
E nɔ ba xo ye ă,Il ne les taquine pas
"Un na lɛ kɔ, e kpo xwe we",Je vais revenir dans deux ans.
Enε ɔ na byo we suulu kpεɖe.,Cela te demandera un peu de patience
blŭjù,en entier
bŭtè,en entier
Bo na ba amasin,Pour chercher un remède.
"Mawu, xwe afatɔ́n ɔ́, nǔ kléwún ɖé wɛ nyí ɖo nukɔn towe, bó nɔ́ wá yi sɔ yí e ko hɔ́n wá yi é ɖɔhun; é nɔ́ dín bléwún ayǐtéhɔ̌nnu ɖɔhun.","Car mille ans sont, à tes yeux, comme le jour d’hier, quand il passe, et comme une veille de la nuit."
fi ɖevo wε nuvivε ɔ ɖe,le problème est ailleurs
Xɛ ɔ xú bɛ̆ mì,L'oiseau m'a donné un coup de bec.
nyì wĕ,jouer aux cartes
vi ɖokponɔ lε nɔ nyi vi gblegble,les fils uniques sont souvent gâtés
E kpo,Il est vieux.
Hun ɖevo na sun ɖo ceju ko mɛ,Le prochain bus est dans vingt minutes.
Étɛ́ ká wɛ̀ ?,Qu’est-ce que c’est ?
blă sé dŏ mε wŭ,introniser quelqu'un dans une fonction chez les vaudouns
e nɔ̀ xó mìtɔ́n jí ă,elle n'a pas respecté notre accord
e nyà gbadé kpɛɖé ɖ'así cè,elle m'a emprunté un peu de maïs
blă wŭ,maigrir
fò yɛ̀,maigrir
xú gŏ,maigrir
"É ɖò taji ɖɔ è ni cyɔn alɔ tó towe jí gbɔn gbè e è nɔ dó tó mɛ é ɖiɖekpo gblamɛ, bo na dó nyì alɔ nú tóɖiɖó kpo tóɖiɖó e nɔ yawu sè nǔ é kpo.",Protéger son audition en limitant le volume des écouteurs est indispensable pour éviter des acouphènes et une perte auditive prématurée.
"Eo, un nɔ nu azɔ ă.",Non ! Je ne fume pas
amisin,morve
"Jakɔ́bu lɔn bɔ Bɛnjamɛ́ɛ, Jozɛ́fu sín nɔví kpɛví ɔ́ xwedó yě yi ǎ; ɖó é ɖo xɛsi ɖi wɛ ɖɔ nǔ baɖabaɖa ɖé táá jɛ dó jǐ tɔn.","Jacob n'envoya point avec eux Benjamin, frère de Joseph, dans la crainte qu'il ne lui arrivât quelque malheur."
e jɛ kpo lí,ils se sont agenouillés
É ka na nyɔ́ bló bɔ è na hun flɛtɛli ɔ à? Yozo ɖo xɔ elɔ mɛ tawun nugbo.,Est-ce qu'il serait possible d'ouvrir la fenêtre ? Il fait vraiment très chaud dans cette pièce.
Ali ɖebǔ sɔ́ ɖè bo na tɔ́n sín mɛ ǎ.,Sans issue possible.
A sè à cé ?,N’as-tu pas compris ?
E fá,C’est facile.
e hù nù nɛ́ bó nú é gbɔ̀ nù yá ɖò fínɛ́,qu'on le mette à mort pour qu'il cesse ses vilenies
"Nǔ e è sà lɛ é gbígbéjé kpɔ́n nɔ d’alɔ mǐ bɔ mǐ nɔ mɔ nukúnnú jɛ nǔxixa sín walɔ lɛ wu ganji, bo nɔ lɛ́ tuùn nǔ e nǔxɔtɔ́ lɛ na wà é.",L'analyse des données de vente nous aide à mieux comprendre les comportements d'achat et à anticiper les tendances de consommation.
"Yě nɔ́ kú nǔbláwǔ nú mɛ ǎ, goyíyí xó jɛ́n nɔ́ tɔ́n sín nu yětɔn mɛ.","Ils ferment leurs entrailles, Ils ont à la bouche des paroles hautaines."
Ku d’azɔ,Bon travail
E kanbyɔ ɛ ɖɔ fitɛ e nɔ yi azɔmɛ ɖe aji,Il lui a demandé où il va au service
etɛ́ wú wɛ̀,de quoi s'agit-il
Enɛ wutu ɔ pollution ɖo Kutɔnu din,C’est pour cela que la pollution est omniprésente à Cotonou
éɖo avi ya wε,elle pleure
Akpakpa sɔ́ mɛ magbokɔ nɔ wà nǔ dó agbaza wu.,Le stress chronique a des effets néfastes sur l'organisme.
Mi nɔ sɔ́ hwenu bo nɔ ɖè kancica ɔ ɖó vo nú ɖagbeninɔ ayi mɛ tɔn mitɔn.,Prenez le temps de déconnecter pour votre bien-être mental.
E ɖu nu kpɔn ă,Il n'a jamais mangé.
"Axɔ́ e Mawu Mavɔmavɔ ná sú kɛntɔ́ ce lɛ́ɛ é nɛ́, axɔ́ e é ná sú mɛ e nɔ ɖɔ nǔ ce lɛ́ɛ é nɛ́.","Telle sera, de la part du Seigneur, la rétribution de mes adversaires et de ceux qui disent du mal de moi !"
azànɖíɖó,délai
E jε azɔ ji azɔn ɖokpo,Il se mit aussitôt au travail
Mì ɖòɖónɔ̀,Nous seuls.
"Énɛ́ ɔ́ wú ɔ́, un ná bló lě e a ɖɔ gbɔn ɔ́, un ná ná nǔnywɛ́ kpódó nukúnnú mɔ jɛ nǔ mɛ kpó we. Un ná ná we sɔ mɔ̌, bɔ mɛɖé ná ko ɖó nǔnywɛ́ towe ɖɔhun kpɔ́n ǎ, mɛɖé ká ná lɛ́ ɖó gbeɖé ǎ.","voici, j'agirai selon ta parole. Je te donnerai un coeur sage et intelligent, de telle sorte qu'il n'y aura eu personne avant toi et qu'on ne verra jamais personne de semblable à toi."
"Nú nǔ sixú cí mɔ̌ ɔ́, un ná nɔ́ ɖɔ xó n'i ma ɖi xɛsi. Nǔ ɖíe má ká cí mɔ̌ din ǎ, bɔ un kpo nú nyiɖée e.","Alors je parlerai et je ne le craindrai pas. Autrement, je ne suis point à moi-même."
